划分方式,F1,Precision,Recall,Accuracy
随机划分（错误）,0.0,0.0,0.0,0.918
时间划分（正确）,0.013071895424836602,0.2,0.006756756756756757,0.8993333333333333
时间划分+类别权重,0.056338028169014086,0.09230769230769231,0.04054054054054054,0.866
