model,accuracy,f1,train_time,predict_time
HistGradientBoosting,0.7936923349893541,0.7839658135538111,0.7542357444763184,0.02002739906311035
XGBoost,0.7882806955287438,0.7769938793627061,0.2626659870147705,0.003002643585205078
LightGBM,0.7918293115684882,0.7815278618313859,0.23943305015563965,0.009512186050415039
